許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
"內衛藥製字第006532號","","","","2028/05/25","1970/07/25","製　劑","17006522","DHY01200653204","持續性荷爾蒙－Ｍ針","DEPOT HORMON-M INJECTION","性腺機能減退、男子更年期障礙","注射劑","小瓶","","","TESTOSTERONE CYPIONATE ( CYCLOPENTYLPROPIONATE)","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","大豐製藥股份有限公司","彰化市延平里岸頭巷１１號","","TW","","2023/04/06","",""
"內衛藥製字第006650號","","","","2028/07/27","1970/07/27","製　劑","01007129","DHY01200665000","""南光""氰鈷胺明注射液１０００微克/毫升","CYANOCOBALAMIN INJECTION 1000MCG/ML ""N.K.""","惡性貧血症、出血性貧血、具有神經合併症之惡性貧血、巨紅血球性貧血、巨胚紅血球性貧血、維他命Ｂ１２缺乏症","注射劑","玻璃安瓿裝;;盒裝","","","CYANOCOBALAMIN (VIT B12)","南光化學製藥股份有限公司","臺南市新化區全興里中山路1001號、1001-1號","69275313","南光化學製藥股份有限公司","台南市新化區中山路1001號、1001之1號","","TW","","2025/06/06","通常成人一回10-2000mcg分1-3次注射於皮下或肌肉或靜脈注射。",""
"內衛藥製字第006711號","","","","2028/05/25","1970/07/27","製　劑","00000000","DHY01200671104","抗血液凝固枸櫞酸鹽葡萄糖液－甲","A C D SOLUTION-A","血液保存劑","注射劑","塑膠軟袋裝;;塑膠安瓿裝","","","SODIUM CITRATE (SODIUM CITRATE TRIBASIC);;CITRIC ACID;;DEXTROSE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","","TW","500 mL塑膠軟袋裝","2023/07/27","",""
"內衛藥製字第006711號","","","","2028/05/25","1970/07/27","製　劑","00000000","DHY01200671104","抗血液凝固枸櫞酸鹽葡萄糖液－甲","A C D SOLUTION-A","血液保存劑","注射劑","塑膠軟袋裝;;塑膠安瓿裝","","","SODIUM CITRATE (SODIUM CITRATE TRIBASIC);;CITRIC ACID;;DEXTROSE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","500 mL塑膠軟袋裝","2023/07/27","",""
"內衛藥製字第006715號","","","","2028/05/25","1970/07/27","製　劑","12007672","DHY01200671502","潔喉片","MISHICOPAL TROCHES","咽喉痛及發炎之緩解。","錠劑","盒裝","","","CETYLPYRIDINIUM CHLORIDE","德山製藥股份有限公司","嘉義縣民雄鄉民雄工業區中山路38號","66372059","臺灣派頓化學製藥股份有限公司","高雄市岡山區為隨里為隨東路五十號","","TW","","2023/06/21","",""
"內衛藥製字第006725號","","","","2027/12/31","1970/07/27","製　劑","","DHY01200672502","""紐約""鹽酸特比倫明錠","TRIPELENNAMINE HCL TABLETS ""N.Y.""","過敏性疾病如：蕁麻疹、皮膚疹、支氣管性氣喘、過敏性鼻炎、乾草熱","錠劑","瓶裝","","","TRIPELENNAMINE HCL","人人化學製藥股份有限公司","桃園市中壢區南園二路３號","30840213","人人化學製藥股份有限公司中壢廠","桃園市中壢區南園二路３號","","TW","","2022/09/12","",""
"內衛藥製字第006732號","","","","2029/12/31","1970/07/27","製　劑","","DHY01200673202","克黴素針","COMYCIN INJECTION","結核、咽頭炎、扁桃腺炎、支氣管炎、肺炎、急、慢性膀胱炎、腎盂炎、尿道炎、淋菌感染症、骨髓炎、一般化膿症","乾粉注射劑","小瓶","","","KANAMYCIN (SULFATE)","人人化學製藥股份有限公司","桃園市中壢區中壢工業區南園二路３號","30840213","政德製藥股份有限公司","雲林縣大埤鄉嘉興村豐田路２號","","TW","","2025/01/20","",""
"內衛藥製字第006851號","","","","2024/12/31","1970/07/28","製　劑","","DHY01200685107","奧巴女蒙注射液５公絲","OVADIOL INJECTION (5 MG)","卵巢機能障礙起因之諸症：無月經、月經不順、月經困難、婦女更年期障礙、卵胞荷爾蒙分泌不足","注射劑","玻璃安瓿裝","","","ESTRADIOL BENZOATE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","大豐製藥股份有限公司","彰化縣彰化市延平里岸頭巷11號","","TW","","2020/03/09","",""
"內衛藥製字第006854號","","","","2029/12/31","1970/07/28","製　劑","","DHY01200685400","膚益寧注射液","PHENINE-H INJECTION","脂漏性濕疹、落屑性皮膚炎、急、慢性濕疹、蕁麻疹、皮膚搔癢症、唇炎、口角炎、口舌炎、鼻炎、過敏性皮膚疾患","注射劑","玻璃安瓿裝","","","METHIONINE DL-;;BIOTIN;;THIAMINE HYDROCHLORIDE;;PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2);;NICOTINAMIDE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路２３７號","","TW","","2025/02/04","",""
"內衛藥製字第006858號","","","","2029/12/31","1970/07/28","製　劑","","DHY01200685808","""東洲"" 維他命丙注射液","VITAMIN C INJECTION ""ORIENTAL""","壞血病、齒齦出血、維他命Ｃ缺乏症","注射劑","玻璃安瓿裝","","","ASCORBIC ACID (VIT C)","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/01/23","",""
"內衛藥製字第006862號","","","","2029/12/31","1970/07/28","製　劑","","DHY01200686202","胃舒鎮注射液","MAGENSTIN INJECTION","胃、十二指腸潰瘍之改善","注射劑","盒裝;;玻璃安瓿裝","","","HISTIDINE L- HCL (EQ TO L-HISTIDINE HYDROCHLORIDE)","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/01/15","",""
"內衛藥製字第006864號","","","","2024/12/31","1970/07/28","製　劑","","DHY01200686403","奧力血平注射液","ORISERPINE INJECTION","高血壓急症","注射劑","安瓿","","","RESERPINE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2019/11/21","",""
"內衛藥製字第006972號","","","","2029/08/27","1970/08/03","製　劑","","DHY01200697206","恩喉定喉片","ENHAUTIN LOZENGES","咽喉炎、口內炎","錠劑","盒裝","","","DEQUALINIUM CHLORIDE","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","72175181","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","","TW","","2024/04/22","",""
"內衛藥製字第006977號","","","","2028/05/25","1970/08/03","製　劑","","DHY01200697703","愛克胃新錠","ANTASHIN TABLETS","緩解胃部不適或灼熱感、或經診斷為胃及十二指腸潰瘍、胃炎、食道炎所伴隨之胃酸過多。","錠劑","PTP 鋁箔盒裝;;塑膠瓶裝","","","MAGALDRATE","生達化學製藥股份有限公司","臺南市新營區土庫里土庫6之20號","71122503","生達化學製藥股份有限公司二廠","台南市新營區開元路154號","","TW","","2022/12/15","成人及12歲以上，每次二錠，一天3~4次，飯後一小時及睡前或需要時服用，應嚼碎後吞服。6歲以上未滿12歲，每次1錠。3歲以上未滿6歲，每次1/2錠。3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。",""
"內衛藥製字第007036號","","","","2024/05/25","1970/08/05","製　劑","","DHY01200703600","解毒膠囊","KEDO CAPSULES ""NANTO""","過敏性疾患、食物過敏","膠囊劑","盒裝;;瓶裝","","","METHIONINE DL-;;NIACINAMIDE (NICOTINAMIDE);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;PYRIDOXINE HCL;;GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL)","南都化學製藥股份有限公司","臺南市佳里區麻興路二段552號","22397048","美西製藥有限公司","高雄市仁武區仁武里工業一路９號","","TW","","2023/08/11","",""
"內衛藥製字第007420號","","","","2029/05/25","1970/08/08","製　劑","","DHY01200742001","""晟德"" 咳恩液","COUGHON SOLUTION ""CENTER""","緩解感冒之各種症狀（喀痰、鼻塞、流鼻水、打噴嚏）。","內服液劑","瓶裝","","","AMMONIUM CHLORIDE;;DIPHENHYDRAMINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;DL-METHYLEPHEDRINE HCL","晟德大藥廠股份有限公司","台北市南港區園區街3之2號7樓","18606304","晟德大藥廠股份有限公司新竹廠","新竹縣湖口鄉實踐路2號","","TW","","2024/03/11","",""
"內衛藥製字第007429號","","","","2029/05/25","1970/08/08","製　劑","","DHY01200742903","胃而治錠","WELANDYL TABLETS ""N.C.P.""","胃、十二腸潰瘍、胃酸過多症、胃炎","錠劑","瓶裝","","","DICYCLOMINE HCL;;ALUMINUM HYDROXIDE DRIED GEL;;MAGNESIUM OXIDE","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","72175181","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","","TW","","2024/03/01","",""
"內衛藥製字第007474號","","","","2024/12/31","1970/08/10","製　劑","","DHY01200747408","奧斯鈣片","OSLIN CALCIUM TABLETS","增進發育、妊娠及授，乳婦之鈣補給","錠劑","罐裝","","","CALCIUM LACTATE;;VITAMIN D;;CALCIUM GLUCONATE","美西製藥有限公司","高雄市仁武區仁武里工業一路９號","85610030","美西製藥有限公司","高雄市仁武區仁武里工業一路９號","","TW","","2019/08/05","",""
"內衛藥製字第007484號","","","","2029/05/25","1970/08/10","製　劑","","DHY01200748401","克濕淨藥膏","KESEZINE OINTMENT ""N.C.P.""","治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬。","軟膏劑","鋁軟管","","","UNDECYLENATE ZINC;;UNDECYLENIC ACID","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","72175181","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","","TW","","2024/03/14","每日2次",""
"內衛藥製字第007520號","","","","2028/05/25","1970/08/10","製　劑","","DHY01200752002","規那通利達液","QUINA TONLITA LIQUID","營養補給","液劑","玻璃瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;THIAMINE MONONITRATE;;RIBOFLAVIN (VIT B2);;CINCHONA EXTRACT;;NIACINAMIDE (NICOTINAMIDE);;AMINO ACID","明通化學製藥股份有限公司第二廠","台中市南屯區文山里工業區２１路１５號","51390804","明通化學製藥股份有限公司第二廠","台中市南屯區文山里工業區２１路１５號","","TW","","2023/03/03","",""
"內衛藥製字第007521號","","","","2028/05/25","1970/08/10","製　劑","","DHY01200752104","百勞益得口服液","PANDON D/ORAL LIQUID","消除疲勞、增強體力、宿醉、營養補給","液劑","瓶裝","","","THIAMINE MONONITRATE;;INOSITOL (MESO-INOSITOL);;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;RIBOFLAVIN (VIT B2);;CARNITINE CHLORIDE;;PANTOTHENATE CALCIUM;;ASCORBIC ACID (VIT C)","明通化學製藥股份有限公司第二廠","台中市南屯區文山里工業區２１路１５號","51390804","明通化學製藥股份有限公司第二廠","台中市南屯區文山里工業區２１路１５號","","TW","","2023/01/31","",""
"內衛藥製字第007592號","","","","2029/05/25","1970/08/10","製　劑","00000000","DHY01200759201","克瀉寧錠","K.B.T. TABLETS","腸炎、腹瀉、潰瘍性結腸炎","錠劑","PVC-ALU 鋁箔盒裝;;瓶裝","","","SCOPOLIA EXTRACT;;ALBUMIN TANNATE (TANNALBIN);;BISMUTH SUBCARBONATE;;KAOLIN (WHITE)(BOLUS ALBA)","健喬信元醫藥生技股份有限公司","新竹縣湖口鄉工業一路6號","43199950","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","","TW","","2024/10/08","",""
"內衛藥製字第007609號","","","","2024/05/25","1970/08/11","製　劑","00000000","DHY01200760905","""利達""氣喘注射液","ASMATHIN INJECTION ""LITA""","氣喘、小兒氣喘、支氣管炎、感冒等伴有咳嗽","注射劑","盒裝;;安瓿","","","DYPHYLLINE;;METHOXYPHENAMINE HCL;;CHLORPHENIRAMINE MALEATE","利達製藥股份有限公司","臺中市大甲區中山路一段906號","56112203","瑞士藥廠股份有限公司新市廠","台南市新市區中山路182號","","TW","","2019/05/24","",""
"內衛藥製字第007611號","","","","2024/05/25","1970/08/11","製　劑","00000000","DHY01200761105","得喉片","DECANI TROCHES","咽喉炎、口內炎。","口含錠","塑膠瓶裝;;鋁箔盒裝","","","DEQUALINIUM CHLORIDE","利達製藥股份有限公司","臺中市大甲區中山路一段906號","56112203","利達製藥股份有限公司","台中市大甲區中山路一段９０６號","","TW","","2019/07/10","",""
"內衛藥製字第007615號","","","","2028/05/25","1970/08/11","製　劑","","DHY01200761500","""利達"" 補勞酸口服液20毫升","GRONCIN ORAL LIQUID 20cc ""LITA""","疲勞、腳氣、神經炎、壞血病。","口服液劑","安瓿","","","RIBOFLAVIN PHOSPHATE;;NIACINAMIDE (NICOTINAMIDE);;ASCORBIC ACID (VIT C);;PYRIDOXINE HCL;;THIAMINE HYDROCHLORIDE","利達製藥股份有限公司","臺中市大甲區中山路一段906號","56112203","利達製藥股份有限公司","台中市大甲區中山路一段９０６號","","TW","","2023/03/03","",""
"內衛藥製字第007626號","","","","2029/05/25","1970/08/11","製　劑","","DHY01200762605","斯可寧糖衣錠","SCONIN S.C. TABLETS ""N.C.P.""","痙攣症（腸、胃道、膽道、尿道）","糖衣錠","瓶裝","","","BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE)","新喜國際企業股份有限公司","台南市鹽水區孫厝里孫厝寮４之６號","72175181","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路２３號","","TW","","2024/03/08","",""
"內衛藥製字第007647號","","","","2028/05/25","1970/08/11","製　劑","","DHY01200764700","愛百力斯吧口服液","APARISUPER ORAL LIQUID","消除疲勞、妊娠婦及病中病後之營養補給","內服液劑","瓶裝","","","ASPARTATE MAGNESIUM L-;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE)","三洋藥品工業股份有限公司大發廠","高雄市大寮區大寮村華西路４５號","75031602","三洋藥品工業股份有限公司大發廠","高雄市大寮區華西路４５號","","TW","","2023/03/29","",""
"內衛藥製字第007648號","","","","2028/05/25","1970/08/11","製　劑","","DHY01200764802","消勞爽口服液","SOROSON","消除疲勞、營養補給、壞血病。","內服液劑","瓶裝","","","PYRIDOXINE HCL;;NIACINAMIDE (NICOTINAMIDE);;SODIUM PANTOTHENATE;;ASCORBIC ACID (VIT C)","三洋藥品工業股份有限公司大發廠","高雄市大寮區大寮村華西路４５號","75031602","三洋藥品工業股份有限公司大發廠","高雄市大寮區華西路４５號","","TW","","2023/03/29","",""
"內衛藥製字第007652號","","","","2028/05/25","1970/08/11","製　劑","00000000","DHY01200765206","千百力糖衣錠","CHEAPARA-T S.C. TABLETS","習慣性早流產、末梢血行障礙、維他命Ｅ缺乏症","糖衣錠","瓶裝","","","TOCOPHEROL ACETATE ALPHA DL-;;BEZOAR ORIENTALE;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;ASCORBIC ACID (VIT C);;THIAMINE MONONITRATE;;GINSENG EXTRACT;;PANTOTHENATE CALCIUM;;VITAMIN A PALMITATE;;NIACIN (NICOTINIC ACID);;PYRIDOXINE HCL","三洋藥品工業股份有限公司大發廠","高雄市大寮區大寮村華西路４５號","75031602","井田國際醫藥廠股份有限公司","台中市大甲區幼獅路32號","","TW","","2023/03/27","",""
"內衛藥製字第007655號","","","","2028/08/11","1970/08/11","製　劑","","DHY01200765502","新胃安片","NEO-WEIAN TABLETS","粘膜保護作用、胃炎、十二指腸炎、胃潰瘍、十二指腸潰瘍、胃酸過多症。","錠劑","罐裝;;盒裝","","","MAGNESIUM ALUMINUM BISMUTH SILICATE","回春堂製藥廠股份有限公司","桃園市新屋區社子村社子８號","35127383","回春堂製藥廠股份有限公司","桃園市新屋區社子里中興路988號","桃園市新屋區社子里２鄰社子８號","TW","","2023/05/11","",""
"內衛藥製字第007748號","","","","2028/05/25","1970/08/11","製　劑","","DHY01200774806","益益口服液","E E ORAL LIQUID","維持肝臟正常功能、末梢血行障礙、恢復體力、預防早產、流產、促進血液循環、補充營養","內服液劑","玻璃瓶裝","","","VITAMIN A PALMITATE;;PYRIDOXINE(VITAMIN B6);;NIACIN (NICOTINIC ACID);;GINSENG EXTRACT;;THIAMINE (VITAMIN B1);;ASCORBIC ACID (VIT C);;PANTHENOL;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;BEZOAR ORIENTALE;;TOCOPHEROL ALPHA DL- (EQ TO DL-ALPHA TOCOPHEROL)","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2023/03/13","",""
"內衛藥製字第007755號","","","","2029/08/13","1970/08/13","製　劑","","DHY01200775503","沙龍眼藥水","SUPER SALOON EYE LOTION","眼晴充血（紅目）、結膜炎、角膜疾患、眼臉炎、淚囊炎","點眼液劑","瓶裝","","","SULFAMETHOXAZOLE SODIUM;;TETRAHYDROZOLINE HCL","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德里德興八路9號","42071836","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德工業區德興八路９號","","TW","","2025/06/02","",""
"內衛藥製字第007840號","","","","2029/05/25","1970/08/13","製　劑","","DHY01200784007","尼斯排癆錠","NYSPADO TABLETS","結核病","錠劑","瓶裝","","","PASINIAZIDE (ISONIAZIDE 4-AMINOSALICYLATE)","尼斯可生技股份有限公司","臺北市大安區仁愛路４段110號6樓之1","12106149","西德有機化學藥品股份有限公司","新北市三重區中正北路５６０巷３６號 （１樓）","","TW","","2024/10/16","",""
"內衛藥製字第007870號","","","","2029/05/25","1970/08/13","製　劑","","DHY01200787003","普樂治片","PROCIL TABLETS","甲狀腺機能亢進症","錠劑","ALU-PVDC鋁箔盒裝;;塑膠瓶裝","","","PROPYLTHIOURACIL","尼斯可生技股份有限公司","臺北市大安區仁愛路４段110號6樓之1","12106149","西德有機化學藥品股份有限公司","新北市三重區中正北路５６０巷３６號","","TW","","2025/06/11","",""
"內衛藥製字第007872號","","","","2029/05/25","1970/08/13","製　劑","","DHY01200787207","""尼斯可""縮水蘋果酸麥角新鹼片","ERGONOVINE MALEATE TABLETS","弛緩性子宮出血、分娩後出血、子宮收縮不全、流產出血","錠劑","玻璃瓶裝","","","ERGONOVINE MALEATE","尼斯可生技股份有限公司","臺北市大安區仁愛路４段110號6樓之1","12106149","西德有機化學藥品股份有限公司","新北市三重區中正北路５６０巷３６號 （１樓）","","TW","","2024/05/15","",""
"內衛藥製字第008035號","","","","2029/05/25","1970/08/15","製　劑","","DHY01200803500","使爾寧注射液","CILNIN INJECTION ""ASATAR""","壞血病、齒齦出血","注射劑","紙盒裝;;紙盒裝","","","ASCORBIC ACID (VIT C)","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","46801068","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","","TW","","2025/07/28","",""
"內衛藥製字第008039號","","","","2028/05/25","1970/08/15","製　劑","","DHY01200803908","鹽酸二苯胺明注射液","DIPHENHYDRAMINE HCL INJECTION ""ASTAR""","過敏性疾患（氣喘、蕁麻疹、皮膚搔癢症、濕疹、鼻炎、Ｘ線醉）","注射劑","安瓿;;盒裝","","","DIPHENHYDRAMINE HCL","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","46801068","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","","TW","","2023/05/11","",""
"內衛藥製字第008043號","","","","2028/05/25","1970/08/15","製　劑","00000000","DHY01200804302","信妥寧片","SINTOLON TABLETS","革蘭氏陰性球、桿菌感染症、急、慢性尿路感染症、急、慢性腸管感染症、膽道感染症","錠劑","盒裝","","","NALIDIXIC ACID","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2023/05/26","",""
"內衛藥製字第008058號","","","","2028/05/25","1970/08/15","製　劑","00000000","DHY01200805802","""信東""縮蘋酸氯菲安明錠4毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""SINTONG""","緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕，打噴嚏，眼睛及喉部搔癢）及過敏所引起之搔癢．皮膚癢疹．","錠劑","鋁箔盒裝;;玻璃瓶裝","","","CHLORPHENIRAMINE MALEATE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2023/02/14","成人一次1錠，一日3至4次，每次間隔4小時以上服用。12歲以上：適用成人劑量。6歲以上未滿12歲，適用成人劑量之1/2。3歲以上未滿6歲，適用成人劑量之1/4。3歲以下嬰幼兒，請洽醫師診治，不宜自行使用。",""
"內衛藥製字第008061號","","","","2028/05/25","1970/08/15","製　劑","","DHY01200806101","""信東""鹽酸麻黃素注射液","EPHEDRINE HYDROCHLORIDE INJECTION","支氣管性氣喘、血管運動神經性鼻炎、過敏性鼻炎、脊椎麻醉導致之急性低血壓","注射劑","盒裝","","","EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE)","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2023/12/13","",""
"內衛藥製字第008063號","","","","2028/05/25","1970/08/15","製　劑","00000000","DHY01200806305","心安寧片","ASIPHYLLINE TABLETS","氣喘、支氣管痙攣","錠劑","瓶裝","","","AMINOPHYLLINE (COROPHYLLIN)","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2023/01/17","",""
"內衛藥製字第008298號","","","","2029/05/25","1970/08/19","製　劑","","DHY01200829806","“龍杏”克樂樂軟膏","CHLORAMPHENICOL OINTMENT","化膿性外傷、創傷、火傷、擦傷、手術創傷化膿、膿痂疹、化膿性汗疱、濕疹、化膿性皮膚潰瘍","軟膏劑","鋁管裝;;塑膠瓶裝;;塑膠瓶裝","","","CHLORAMPHENICOL","龍杏生技製藥股份有限公司","台南市佳里區嘉福里１１５之１號","51652905","龍杏生技製藥股份有限公司","台南市佳里區嘉福里１１５之１號","","TW","","2024/12/10","",""
"內衛藥製字第008387號","","","","2029/12/31","1970/08/20","製　劑","","DHY01200838705","美嗽力注射液","METHODEX G INJECTION","鎮咳、袪痰（加答兒性咳嗽、支氣管性氣喘、急、慢性支氣管炎、急、慢性喉頭炎、急、慢性呼吸器疾病引起之咳嗽）","注射劑","玻璃安瓿裝","","","DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/01/17","",""
"內衛藥製字第008389號","","","","2029/12/31","1970/08/20","製　劑","","DHY01200838909","美知維他注射液","METHIVITAN-S INJECTION","維他命Ｂ缺乏症、營養失調、腳氣、神經炎、妊產婦授乳期之營養補給、視神經炎","注射劑","安瓿","","","METHIONINE DL-;;RIBOFLAVIN (VIT B2);;THIAMINE HYDROCHLORIDE;;PANTOTHENATE CALCIUM;;NIACINAMIDE (NICOTINAMIDE);;PYRIDOXINE HCL","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路２３７號","","TW","","2025/03/31","",""
"內衛藥製字第008393號","","","","2029/12/31","1970/08/20","製　劑","","DHY01200839300","免嗽克喘注射液","METHOXINE M INJECTION","支氣管氣喘、支氣管炎、小兒氣喘、咳嗽、蕁麻疹、過敏性鼻炎、過敏性疾患","注射劑","玻璃安瓿裝","","","CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;DIHYDROXYPROPYL THEOPHYLLINE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;METHOXYPHENAMINE HCL","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路２３７號","","TW","","2025/11/17","",""
"內衛藥製字第008440號","","","","2028/05/25","1970/08/20","製　劑","","DHY01200844009","美可樂液劑","MI-CORA LIQUID","夜盲症、佝僂病、軟骨症、營養不良、發育不全","內服液劑","瓶裝","","","ASCORBIC ACID (VIT C);;PYRIDOXINE(VITAMIN B6);;NIACINAMIDE (NICOTINAMIDE);;CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3);;RIBOFLAVIN (VIT B2);;SODIUM PANTOTHENATE;;THIAMINE (VITAMIN B1);;VITAMIN A PALMITATE;;CYANOCOBALAMIN (VIT B12)","漁人製藥股份有限公司","高雄市左營區民族一路７０７號","83648834","臺灣派頓化學製藥股份有限公司","高雄市岡山區為隨里為隨東路五十號","","TW","","2023/03/08","",""
"內衛藥製字第008471號","","","","2028/05/25","1970/08/22","製　劑","","DHY01200847107","""美""健胃達錠","GENWEITD TABLETS","胃酸過多、胃痛、腹痛","錠劑","瓶裝","","","ALUMINUM SILICATE;;CERIUM OXALATE;;MENTHOL;;MAGNESIUM OXIDE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;BISMUTH SUBNITRATE (BISMUTH NITRATE BASIC);;BENZOCAINE (ETHYL AMINOBENZOATE);;SCOPOLIA EXTRACT","長安化學工業股份有限公司","彰化縣福興鄉萬豐村福工路19號、19-1號","59212326","長安化學工業股份有限公司","彰化縣福興鄉萬豐村福工路19號、19-1號","","TW","","2023/07/24","",""
"內衛藥製字第008536號","","","","2027/05/25","1970/08/22","製　劑","","DHY01200853609","""美""克淨淋膠囊","KEZINLIN CAPSULES","淋病、急慢性尿道炎、膀胱炎、腎盂炎、扁桃腺炎、咽喉炎、中耳炎、鼻腔炎、口腔炎、腸炎","膠囊劑","盒裝;;瓶裝","","","NITROFURANTOIN;;SULFAMETHOXYPYRIDAZINE","長安化學工業股份有限公司","彰化縣福興鄉萬豐村福工路19號、19-1號","59212326","長安化學工業股份有限公司","彰化縣福興鄉萬豐村福工路19號、19-1號","","TW","","2022/06/01","",""
"內衛藥製字第008852號","","","","2028/08/26","1970/08/26","製　劑","","DHY01200885206","""南光"" 保肝注射液","THIOCCAN INJECTION ""N.K.""","維護肝臟正常功能","注射劑","玻璃安瓿裝","","","THIOCTIC ACID (VIT B14ALPHA-LIPOIC ACID)","南光化學製藥股份有限公司","臺南市新化區全興里中山路1001號、1001-1號","69275313","南光化學製藥股份有限公司","台南市新化區中山路1001號、1001之1號","","TW","","2023/06/12","",""
