許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
"衛署成製字第010144號","","","","2026/09/09","1996/09/09","製　劑","","DHY00301014409","""天明""舒絡清涼油","""TIMING"" SHU LAO QING LIANG OIL","頭眩鼻塞、肚痛頭痛、小兒腹痛、胸膈不舒、蚊蟲咬傷、湯火灼傷、止癢消腫、手足酸痛、肌肉酸痛、暈車船","外用液劑","塑膠容器裝;;玻璃容器裝","","","EUCALYPTUS OIL (OLEUM EUCALYPTI);;LAVENDER OIL;;TURPENTINE OIL;;METHYL SALICYLATE;;CAMPHOR;;MENTHOL","天明製藥股份有限公司農科分公司","屏東縣長治鄉德和村神農路3號","27680228","人生製藥股份有限公司","台中市西屯區工業區五路３號","","TW","","2022/07/21","",""
"衛署成製字第010159號","","","","2026/10/04","1996/10/04","製　劑","","DHY00301015909","妙護士軟膏","WONDERFUL NURSE OINTMENT ""PANBIOTIC""","切傷、刀傷、創傷、火傷、蟲咬傷、頭暈","軟膏劑","管裝;;塑膠容器裝","","","METHYL SALICYLATE;;CAMPHOR;;EUCALYPTUS OIL (OLEUM EUCALYPTI);;MENTHOL","臺灣汎生製藥股份有限公司","高雄市鳥松區坔埔里大同路5-1號及神農路330號","85615014","臺灣汎生製藥廠股份有限公司","高雄市鳥松區?埔里大同路5-1號及神農路330號","","TW","","2021/09/08","",""
"衛署成製字第010166號","","","","2029/07/20","1996/10/11","製　劑","01037812","DHY00301016606","""近江兄弟""面達新軟膏","MENTASHIN OINTMENT ""OMI BROTHERHOOD""","緩解蚊蟲叮咬引起之皮膚搔癢紅腫，暫時緩解輕微肌肉與關節的痠痛及疼痛。","軟膏劑","塑膠罐裝;;鐵盒","","","L-MENTHOL ;;DL-CAMPHOR","人生製藥股份有限公司","台中市西屯區工業區五路３號","58003103","人生製藥股份有限公司","台中市西屯區工業區五路３號","","TW","","2024/05/17","適量塗抹患處, 一日3~4次。",""
"衛署成製字第011455號","","","","2030/04/07","2000/04/07","製　劑","","DHY00301145505","乾洗手消毒潔手凝露","GREEN ANTI-BACTERIAL HAND SANITIZER","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","中國化學製藥股份有限公司新豐工廠","新竹縣新豐鄉坑子口１８２之１號","03088802","中國化學製藥股份有限公司新豐工廠","新竹縣新豐鄉坑子口１８２之１號","","TW","","2025/01/08","",""
"衛署成製字第011644號","","","","2030/12/05","2000/12/05","製　劑","","DHY00301164408","""得生""剋百痛藥布","KE PAI TUNG PAP ""T.S.""","腰痛、打撲、捻挫、肩膀酸痛、關節痛、肌肉痛、肌肉疲勞。","藥膠布","鋁箔袋裝","","","METHYL SALICYLATE;;L-MENTHOL ;;DL-CAMPHOR","得生製藥股份有限公司二廠","台南市永康區王行里環工路42之1號","22684196","得生製藥股份有限公司二廠","台南市永康區王行里環工路42號之1號","","TW","","2025/08/01","",""
"衛署成製字第012599號","","","","2028/06/16","2003/06/16","製　劑","","DHY00301259908","""生達"" 淨手抗菌乾洗手凝露","CLEAN ANTI-BACTERIAL HAND SANITIZER GEL ""STANDARD""","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","生達化學製藥股份有限公司二廠","台南市新營區開元路１５４號","71122503","生達化學製藥股份有限公司二廠","台南市新營區開元路１５４號","","TW","","2023/02/01","",""
"衛署成製字第012600號","","","","2028/06/16","2003/06/16","製　劑","","DHY00301260006","抑菌寧抗菌洗手凝膠 70%","CLEAN UP Anti-Bacterial Hand Gel 70%","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","明德製藥股份有限公司","桃園市楊梅區瑞原里7鄰民富路二段３６０號","44636613","明德製藥股份有限公司","桃園市楊梅區瑞原里7鄰民富路二段３６０號","","TW","","2023/08/02","",""
"衛署成製字第012601號","","","","2028/06/17","2003/06/17","製　劑","","DHY00301260108","波立特乾洗手消毒潔手凝露","SPORICIDIN ANTI-BACTERIAL HAND SANITIZER GEL","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","永勝藥品工業股份有限公司","嘉義縣民雄鄉興南村頭橋工業區工業三路6之3號","30853589","永勝藥品工業股份有限公司","嘉義縣民雄鄉興南村頭橋工業區工業三路6之3號","","TW","","2023/03/29","",""
"衛署成製字第012604號","","","","2028/06/17","2003/06/17","製　劑","","DHY00301260401","華寶抗菌洗手凝膠 70%","FORBES ANTIBACTERIAL GEL 70%","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ISOPROPYL ALCOHOL (2-PROPANOL)","明德製藥股份有限公司","桃園市楊梅區瑞原里7鄰民富路二段３６０號","44636613","明德製藥股份有限公司","桃園市楊梅區瑞原里7鄰民富路二段３６０號","","TW","","2023/05/18","",""
"衛署成製字第012614號","","","","2028/06/17","2003/06/17","製　劑","","DHY00301261404","手速潔凝膠","GENTLE-CLEAN GEL","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝;;鋁箔盒裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","政德製藥股份有限公司","雲林縣大埤鄉嘉興村豐田路２號","63129193","政德製藥股份有限公司","雲林縣大埤鄉嘉興村豐田路２號","","TW","","2023/05/08","",""
"衛署成製字第012615號","","","","2028/06/18","2003/06/18","製　劑","","DHY00301261506","""人生"" 常洗手消毒潔手凝露","HANDCLEAN GEL ""J.S.""","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","人生製藥股份有限公司","台中市西屯區工業區五路３號","58003103","人生製藥股份有限公司","台中市西屯區工業區五路３號","","TW","","2023/05/04","",""
