序號,藥品代碼,藥品名稱,成分名稱,成分含量,,劑型,規格量,,藥商名稱,分組名稱,"114年12月
現行調整大類
(註1)","分類
(註2)",藥品類別,"指示用藥
(註3)","115年12月31日
現行調整大類
(註4)","115年12月31日
新制調整大類
(註5)",專利到期日,備註
23,AC56713321,Koulening Oralbase,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,仙台藥品工業股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
24,AC58050421,Oracure Orabase,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,人人化學製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
25,AC58640421,Koulele Orabase 1mg/g  SOUNLIN  (Dexamethasone),DEXAMETHASONE,1,MG/GM,口內膏,5,GM,松林藥品有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
26,BC19122421,DEXALTIN ORAL PASTE,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,台灣日化股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
27,AC22355426,COYENSU IN ORABASE (DEXAMETHASONE),DEXAMETHASONE,1,MG/GM,口內膏,8,GM,長安化學工業股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
28,AC31317426,ACOLON ORABASE 1MG/G (DEXAMETHASONE)  MEIDER,DEXAMETHASONE,1,MG/GM,口內膏,8,GM,明德製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
29,AC37874426,EUXINC ORABASE 0.1%,DEXAMETHASONE,1,MG/GM,口內膏,8,GM,美西製藥有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
30,AC43681426,SMILE ORABASE 1MG/GM  WINSTON,DEXAMETHASONE,1,MG/GM,口內膏,8,GM,溫士頓醫藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
31,AC45183426,ZINE ORABASE 0.1%,DEXAMETHASONE,1,MG/GM,口內膏,8,GM,中生生技製藥股份有限公司淡水廠,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
32,AC45685426,NEO SMILE ORABASE,DEXAMETHASONE,1,MG/GM,口內膏,8,GM,元福國際股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
33,AC48842426,Coenkasu Oralbase 1mg,DEXAMETHASONE,1,MG/GM,口內膏,8,GM,井田國際醫藥廠股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
34,AC58640426,Koulele Orabase 1mg/g  SOUNLIN  (Dexamethasone),DEXAMETHASONE,1,MG/GM,口內膏,8,GM,松林藥品有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
35,AC41474300,Carboxe Healing Buccal Tablets,TRIAMCINOLONE (ACETONIDE),0.03,MG,口腔錠,,,西德有機化學藥品股份有限公司,TRIAMCINOLONE ， 外用錠劑 ， 25.00 MCG,三B,1,一般學名藥,Y,三B,第三大類,,
36,AC48862300,Tecoro Tablets 0.025mg  EVEREST,TRIAMCINOLONE (ACETONIDE),0.03,MG,錠劑,,,永勝藥品工業股份有限公司,TRIAMCINOLONE ， 外用錠劑 ， 25.00 MCG,三B,1,一般學名藥,N,三B,第三大類,,
37,AC21887416,LECORTIN ORAL BASE (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3,GM,新瑞生物科技股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
38,AC43602416,CHEER ORABASE 1MG/GM  WINSTON,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3,GM,溫士頓醫藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
39,AC52122416,Cortibond Orabase,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3,GM,人人化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
40,AC57980416,Oralfix ORAL BASE,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3,GM,意欣國際有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
41,A021887417,LECORTIN ORAL BASE (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3.5,GM,新瑞生物科技股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.50 GM,三B,2,一般學名藥,N,三B,第三大類,,
42,A031651417,SCORO ORABASE 1MG/G (TRIAMCINOLONE)  MEIDER,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3.5,GM,明德製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.50 GM,三B,2,一般學名藥,N,三B,第三大類,,
43,AC21981417,NINCORT ORAL GEL (TRIAMCINOLONE)  SINPHAR,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3.5,GM,杏輝藥品工業股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.50 GM,三B,1,一般學名藥,N,三B,第三大類,,
44,AC34089417,AYCO IN ORABASE 1MG/GM  ROOT  (TRIAMCINOLONE ACETONIDE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3.5,GM,羅得化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.50 GM,三B,1,一般學名藥,N,三B,第三大類,,
45,AC52122417,Cortibond Orabase,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,3.5,GM,人人化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.50 GM,三B,1,一般學名藥,N,三B,第三大類,,
46,AC60366417,Kanheal Orabase,TRIAMCINOLONE ACETONIDE,1,MG/GM,口內膏,3.5,GM,中生生技製藥股份有限公司淡水廠,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 3.50 GM,三B,1,一般學名藥,N,三B,第三大類,,
47,AB33541421,Oralog Orabase 1mg/g  Purzer  (Triamcinolone),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,瑞安大藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
48,AC18772121,KOSULER PASTE (TRIAMCINOLONE)  PANBIOTIC,TRIAMCINOLONE (ACETONIDE),1,MG/GM,軟膏劑,5,GM,臺灣汎生製藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
49,AC21981421,NINCORT ORAL GEL (TRIAMCINOLONE)  SINPHAR,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,杏輝藥品工業股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
50,AC25504421,YECOLON ORABASE (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,元宙化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
51,AC31651421,SCORO ORABASE 1MG/G (TRIAMCINOLONE)  MEIDER,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,明德製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
52,AC34089421,AYCO IN ORABASE 1MG/GM  ROOT  (TRIAMCINOLONE ACETONIDE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,羅得化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
53,AC36084421,CORKELIN ORAL GEL 1MG/GM  M.S. (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,美西製藥有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
54,AC37063421,TRACORT ORABASE 1MG/GM  PATRON (TRIAMCINOLONE ACETONIDE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,臺灣派頓化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
55,AC41732421,SEU-SU ORAL BASE 0.1% (TRIAMCINOLONE ACETONIDE)  Chinteng,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,井田國際醫藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
56,AC43602421,CHEER ORABASE 1MG/GM  WINSTON,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,溫士頓醫藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
57,AC51196421,Shu Kou Yan oral paste 1mg/ g,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,台灣源山股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
58,AC52122421,Cortibond Orabase,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,人人化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
59,AC60366421,Kanheal Orabase,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,5,GM,中生生技製藥股份有限公司淡水廠,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
60,A021887423,LECORTIN ORAL BASE (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,新瑞生物科技股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,2,一般學名藥,N,三B,第三大類,,
61,AB33541423,Oralog Orabase 1mg/g  Purzer  (Triamcinolone),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,瑞安大藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
62,AC21981423,NINCORT ORAL GEL (TRIAMCINOLONE)  SINPHAR,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,杏輝藥品工業股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
63,AC25504423,YECOLON ORABASE (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,元宙化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
64,AC31614423,STACORT DENTAL PASTE 1MG/G   STANDARD (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,生達化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
65,AC31651423,SCORO ORABASE 1MG/G (TRIAMCINOLONE)  MEIDER,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,明德製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
66,AC34089423,AYCO IN ORABASE 1MG/GM  ROOT  (TRIAMCINOLONE ACETONIDE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,羅得化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
67,AC36858423,AMCICORT IN ORABASE 0.1% (TRIAMCINOLONE ACETONIDE)  CL,TRIAMCINOLONE ACETONIDE,1,MG/GM,口內膏,6,GM,嘉林藥品有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
68,AC41732423,SEU-SU ORAL BASE 0.1% (TRIAMCINOLONE ACETONIDE)  Chinteng,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,井田國際醫藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
69,AC43255423,CINOLONE ORABASE  W.P.,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,華盛頓製藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
70,AC43602423,CHEER ORABASE 1MG/GM  WINSTON,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,溫士頓醫藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
71,AC46189423,SUYENIN ORAL BASE  H.S.,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,黃氏製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
72,AC52122423,Cortibond Orabase,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,人人化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
73,AC57980423,Oralfix ORAL BASE,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,6,GM,意欣國際有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
74,AC60366423,Kanheal Orabase,TRIAMCINOLONE ACETONIDE,1,MG/GM,口內膏,6,GM,中生生技製藥股份有限公司淡水廠,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
75,AC18772129,KOSULER PASTE (TRIAMCINOLONE)  PANBIOTIC,TRIAMCINOLONE (ACETONIDE),1,MG/GM,軟膏劑,10,GM,臺灣汎生製藥廠股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
76,AC21887429,LECORTIN ORAL BASE (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,10,GM,新瑞生物科技股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
