序號,藥品代碼,藥品名稱,成分名稱,成分含量,,劑型,規格量,,藥商名稱,分組名稱,"114年12月
現行調整大類
(註1)","分類
(註2)",藥品類別,"指示用藥
(註3)","115年12月31日
現行調整大類
(註4)","115年12月31日
新制調整大類
(註5)",專利到期日,備註
4428,AC04761329,SHIELIN POWDER,NEOMYCIN SULFATE,10,MG/GM,外用粉劑,10,GM,生達化學製藥股份有限公司,NEOMYCIN 10MG/GM + TRYPSIN 2500IU/GM， 外用顆粒劑， 10.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4429,NC13508329,BIOMYCIN OINTMENT  CBC,NEOMYCIN SULFATE,5,MG/GM,軟膏劑,10,GM,中生生技製藥股份有限公司淡水廠,NEOMYCIN 5MG + TYROTHRICIN 500MCG， 外用軟膏劑， 10.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4430,NC13508338,BIOMYCIN OINTMENT  CBC,NEOMYCIN SULFATE,5,MG/GM,軟膏劑,20,GM,中生生技製藥股份有限公司淡水廠,NEOMYCIN 5MG + TYROTHRICIN 500MCG， 外用軟膏劑， 20.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4431,NC13508345,BIOMYCIN OINTMENT  CBC,NEOMYCIN SULFATE,5,MG/GM,軟膏劑,40,GM,中生生技製藥股份有限公司淡水廠,NEOMYCIN 5MG + TYROTHRICIN 500MCG， 外用軟膏劑， 40.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4432,AC60568312,Penvir Cream,PENCICLOVIR,10,MG/GM,乳膏劑,2,GM,寶齡富錦生技股份有限公司,PENCICLOVIR ， 外用軟膏劑 ， 10.00  MG/GM ， 2.00 GM,三A,1,一般學名藥,N,三A,第三大類,,
4433,AC61581312,Gendelin Cream,PENCICLOVIR,10,MG/GM,乳膏劑,2,GM,壽元化學工業股份有限公司,PENCICLOVIR ， 外用軟膏劑 ， 10.00  MG/GM ， 2.00 GM,三A,1,一般學名藥,N,三A,第三大類,,
4434,AC48396321,KHOIOU Cream 1.5mg  ChinTeng,PODOPHYLLOTOXIN,1.5,MG/GM,乳膏劑,5,GM,井田國際醫藥廠股份有限公司,PODOPHYLLOTOXIN ， 外用軟膏劑 ， 1.5 MG/GM ， 5.00 GM,三A,1,一般學名藥,N,三A,第三大類,,
4435,AC55546321,Wart Del Cream,PODOPHYLLOTOXIN,1.5,MG/GM,乳膏劑,5,GM,中生生技製藥股份有限公司淡水廠,PODOPHYLLOTOXIN ， 外用軟膏劑 ， 1.5 MG/GM ， 5.00 GM,三A,1,一般學名藥,N,三A,第三大類,,
4436,AC26308321,CANFLAME CREAM  WINSTON,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,5,GM,溫士頓醫藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4437,AC37838335,SEFUCON CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,15,GM,新喜國際企業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 15.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4438,AC16402338,SILVER SULFADIAZINE CREAM,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,瑞士藥廠股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4439,AC21633338,ANCO CREAM (SILVER SULFADIAZINE)  ROYAL,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,皇佳化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4440,AC26703338,SILVA-SULFA 1% CREAM (SILVER SULFADIAZINE)  GCPC,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,人人化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4441,AC28168338,SILVADENE CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,寶齡富錦生技股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4442,AC32571338,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4443,AC32828338,SIGEL CREAM 10MG/G  C.H.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,正和製藥股份有限公司新營廠,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4444,AC36787338,SILIVERINE CREAM 10MG/GM  S.Y.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,壽元化學工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4445,AC37838338,SEFUCON CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,新喜國際企業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4446,AC26128340,SULFASIL CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,25,GM,榮民製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 25.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4447,AC26308340,CANFLAME CREAM  WINSTON,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,25,GM,溫士頓醫藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 25.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4448,AC26703340,SILVA-SULFA 1% CREAM (SILVER SULFADIAZINE)  GCPC,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,25,GM,人人化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 25.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4449,AC36787340,SILIVERINE CREAM 10MG/GM  S.Y.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,25,GM,壽元化學工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 25.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4450,AC16402348,SILVER SULFADIAZINE CREAM,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,瑞士藥廠股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4451,AC20276348,UBURN CREAM (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,軟膏劑,50,GM,優良化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4452,AC21633348,ANCO CREAM (SILVER SULFADIAZINE)  ROYAL,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,皇佳化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4453,AC26128348,SULFASIL CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,榮民製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4454,AC26308348,CANFLAME CREAM  WINSTON,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,溫士頓醫藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4455,AC26703348,SILVA-SULFA 1% CREAM (SILVER SULFADIAZINE)  GCPC,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,人人化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4456,AC28168348,SILVADENE CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,寶齡富錦生技股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4457,AC32571348,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4458,AC36787348,SILIVERINE CREAM 10MG/GM  S.Y.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,壽元化學工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4459,AC44043348,SSD Cream  DI,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,元昊生物科技有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4460,AC26128363,SULFASIL CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,200,GM,榮民製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 200.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4461,AC26703363,SILVA-SULFA 1% CREAM (SILVER SULFADIAZINE)  GCPC,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,200,GM,人人化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 200.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4462,AC32571363,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,200,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 200.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4463,AC36787363,SILIVERINE CREAM 10MG/GM  S.Y.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,200,GM,壽元化學工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 200.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4464,AC20276365,UBURN CREAM (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,軟膏劑,250,GM,優良化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 250.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4465,AC26128365,SULFASIL CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,250,GM,榮民製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 250.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4466,AC26308365,CANFLAME CREAM  WINSTON,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,250,GM,溫士頓醫藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 250.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4467,AC26703365,SILVA-SULFA 1% CREAM (SILVER SULFADIAZINE)  GCPC,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,250,GM,人人化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 250.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4468,AC32571365,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,250,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 250.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4469,AC16402371,SILVER SULFADIAZINE CREAM,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,400,GM,瑞士藥廠股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 400.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4470,AC28168371,SILVADENE CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,400,GM,寶齡富錦生技股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 400.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4471,AC32571371,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,400,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 400.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4472,AC26308372,CANFLAME CREAM  WINSTON,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,450,GM,溫士頓醫藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 450.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4473,AC32571372,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,450,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 450.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4474,AC36787372,SILIVERINE CREAM 10MG/GM  S.Y.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,450,GM,壽元化學工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 450.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4475,AC16402377,SILVER SULFADIAZINE CREAM,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,瑞士藥廠股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4476,AC20276377,UBURN CREAM (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,軟膏劑,500,GM,優良化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4477,AC21633377,ANCO CREAM (SILVER SULFADIAZINE)  ROYAL,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,皇佳化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4478,AC26128377,SULFASIL CREAM 1% (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,榮民製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4479,AC26308377,CANFLAME CREAM  WINSTON,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,溫士頓醫藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4480,AC26703377,SILVA-SULFA 1% CREAM (SILVER SULFADIAZINE)  GCPC,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,人人化學製藥股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4481,AC32571377,SINPHAR  SILIVERZINE CREAM 10MG/GM（SULFADIAZINE SILVER）,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,杏輝藥品工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4482,AC36787377,SILIVERINE CREAM 10MG/GM  S.Y.  (SILVER SULFADIAZINE),SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,壽元化學工業股份有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4483,AC44043377,SSD Cream  DI,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,元昊生物科技有限公司,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4484,AC39306338,AG-S COMPLEX CREAM,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,20,GM,瑞士藥廠股份有限公司,SULFADIAZINE 10MG/GM + CHLORHEXIDINE 2MG/GM， 外用軟膏劑， 20.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4485,AC38509348,U-BURNDIN CREAM  U-LIANG,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,優良化學製藥股份有限公司,SULFADIAZINE 10MG/GM + CHLORHEXIDINE 2MG/GM， 外用軟膏劑， 50.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4486,AC39306348,AG-S COMPLEX CREAM,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,50,GM,瑞士藥廠股份有限公司,SULFADIAZINE 10MG/GM + CHLORHEXIDINE 2MG/GM， 外用軟膏劑， 50.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4487,AC38509377,U-BURNDIN CREAM  U-LIANG,SULFADIAZINE SILVER,10,MG/GM,乳膏劑,500,GM,優良化學製藥股份有限公司,SULFADIAZINE 10MG/GM + CHLORHEXIDINE 2MG/GM， 外用軟膏劑， 500.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4488,AC26858321,PROPADOM CREAM 0.25MG/GM (BECLOMETHASONE) N.C.P.,BECLOMETHASONE DIPROPIONATE,0.25,MG/GM,乳膏劑,5,GM,新喜國際企業股份有限公司,BECLOMETHASONE ， 外用軟膏劑 ， 0.25  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4489,AC26858329,PROPADOM CREAM 0.25MG/GM (BECLOMETHASONE) N.C.P.,BECLOMETHASONE DIPROPIONATE,0.25,MG/GM,乳膏劑,10,GM,新喜國際企業股份有限公司,BECLOMETHASONE ， 外用軟膏劑 ， 0.25  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4490,A041979329,BECLOMIN CREAM,BECLOMETHASONE DIPROPIONATE,0.25,MG/GM,乳膏劑,10,GM,岳生生技股份有限公司,BECLOMETHASONE 250MCG/GM + NEOMYCIN 5MG/GM， 外用軟膏劑， 10.00GM,三B,2,一般學名藥,N,三B,第三大類,,
4491,N010577321,RINDERON-V CREAM 0.06%,BETAMETHASONE (VALERATE),0.5,MG/GM,乳膏劑,5,GM,台灣?野義製藥股份有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 0.50  MG/GM ， 5.00 GM,三B,2,一般學名藥,Y,三B,第三大類,,
4492,A011081321,BENISON CREAM 0.1%  GENTLE,BETAMETHASONE (VALERATE),1,MG/GM,乳膏劑,5,GM,政德製藥股份有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 1.00  MG/GM ， 5.00 GM,三B,2,一般學名藥,N,三B,第三大類,,
4493,AC12745321,PARMASON CREAM  BOWLIN,BETAMETHASONE (VALERATE),1,MG/GM,乳膏劑,5,GM,寶齡富錦生技股份有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4494,AC12745329,PARMASON CREAM  BOWLIN,BETAMETHASONE (VALERATE),1,MG/GM,乳膏劑,10,GM,寶齡富錦生技股份有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4495,AC47920329,Lanbason Cream 0.1%,BETAMETHASONE VALERATE,1,MG/GM,乳膏劑,10,GM,昱任藥品有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4496,AC12745338,PARMASON CREAM  BOWLIN,BETAMETHASONE (VALERATE),1,MG/GM,乳膏劑,20,GM,寶齡富錦生技股份有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 1.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4497,AC47920338,Lanbason Cream 0.1%,BETAMETHASONE VALERATE,1,MG/GM,乳膏劑,20,GM,昱任藥品有限公司,BETAMETHASONE (VALERATE) ， 外用軟膏劑 ， 1.00  MG/GM ， 20.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4498,AC30465329,EPISONE SOLUTION (BETAMETHASONE),BETAMETHASONE (VALERATE),1,MG/ML,外用液劑,10,ML,寶齡富錦生技股份有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 10.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4499,AC34569329,BESONG SCALP SOLUTION 1MG/ML ''SINPHAR''(BETAMETHASONE),BETAMETHASONE (VALERATE),1,MG/ML,外用液劑,10,ML,杏輝藥品工業股份有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 10.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4500,AC42798329,BENOVATE SOLUTION 1MG/ML,BETAMETHASONE (VALERATE),1,MG/ML,外用液劑,10,ML,美西製藥有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 10.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4501,AC55003329,Being lotion Solution 1mg/mL,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,10,ML,昱任藥品有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 10.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4502,AC30465340,EPISONE SOLUTION (BETAMETHASONE),BETAMETHASONE (VALERATE),1,MG/ML,外用液劑,25,ML,寶齡富錦生技股份有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 20.00-25.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4503,AC34569340,BESONG SCALP SOLUTION 1MG/ML ''SINPHAR''(BETAMETHASONE),BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,25,ML,杏輝藥品工業股份有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 20.00-25.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4504,AC42798338,BENOVATE SOLUTION 1MG/ML,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,20,ML,美西製藥有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 20.00-25.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4505,AC42798340,BENOVATE SOLUTION 1MG/ML,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,25,ML,美西製藥有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 20.00-25.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4506,AC55003338,Being lotion Solution 1mg/mL,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,20,ML,昱任藥品有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 20.00-25.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4507,AC55003340,Being lotion Solution 1mg/mL,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,25,ML,昱任藥品有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 20.00-25.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4508,AC30465345,EPISONE SOLUTION (BETAMETHASONE),BETAMETHASONE (VALERATE),1,MG/ML,外用液劑,40,ML,寶齡富錦生技股份有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 40.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4509,AC34569345,BESONG SCALP SOLUTION 1MG/ML ''SINPHAR''(BETAMETHASONE),BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,40,ML,杏輝藥品工業股份有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 40.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4510,AC42798345,BENOVATE SOLUTION 1MG/ML,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,40,ML,美西製藥有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 40.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4511,AC55003345,Being lotion Solution 1mg/mL,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,40,ML,昱任藥品有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 40.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4512,AC42798363,BENOVATE SOLUTION 1MG/ML,BETAMETHASONE (17-VALERATE),1,MG/ML,外用液劑,200,ML,美西製藥有限公司,BETAMETHASONE (VALERATE) ， 外用液劑 ， 1.00  MG/ML ， 200.00 ML,三B,1,一般學名藥,N,三B,第三大類,,
4513,A032319321,GENTADERM CREAM,BETAMETHASONE (DIPROPIONATE),0.64,MG/GM,乳膏劑,5,GM,瑞安大藥廠股份有限公司,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,三B,2,一般學名藥,Y,三B,第三大類,,
4514,AC13647321,GENTASONE CREAM,BETAMETHASONE (DIPROPIONATE),0.5,MG/GM,軟膏劑,5,GM,中生生技製藥股份有限公司淡水廠,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4515,AC36963321,BENCOGEN CREAM,BETAMETHASONE DIPROPIONATE,0.5,MG/GM,乳膏劑,5,GM,壽元化學工業股份有限公司,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4516,AC49877321,B-Gencin cream“Sinphar”,BETAMETHASONE DIPROPIONATE,0.64,MG/GM,乳膏劑,5,GM,杏輝藥品工業股份有限公司,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,三B,1,一般學名藥,N,三B,第三大類,,
4517,AC13647329,GENTASONE CREAM,BETAMETHASONE (DIPROPIONATE),0.5,MG/GM,軟膏劑,10,GM,中生生技製藥股份有限公司淡水廠,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 10.00GM,三B,1,一般學名藥,N,三B,第三大類,,
